student_id,age,gender,branch,cgpa,internships,projects,coding_score,aptitude_score,communication_score,python_skill,sql_skill,excel_skill,power_bi_skill,dsa_skill,cloud_skill,cybersecurity_skill,placed,company_type,package_lpa
S0001,22,Male,ME,7.15,1,1,68.47,81.87,72.59,1,1,1,1,1,0,1,1,Service,5.36
S0002,22,Male,CSE,6.7,1,1,70.76,61.89,75.97,1,1,1,1,1,0,0,0,,
S0003,22,Male,CSE,7.54,2,0,78.75,61.6,59.14,1,0,1,1,1,1,0,1,Startup,13.46
S0004,22,Male,IT,8.32,0,2,65.36,88.7,79.99,1,1,1,0,1,1,0,0,,
S0005,23,Male,IT,7.67,1,2,78.39,70.06,82.79,0,1,1,0,1,1,0,1,Startup,14.43
S0006,21,Male,ECE,8.81,2,1,74.9,76.23,78.07,1,0,0,1,1,0,0,0,,
S0007,20,Female,ME,9.37,0,5,91.41,60.74,83.68,1,1,1,1,1,1,0,1,Product,14.57
S0008,20,Male,CSE,8.15,0,2,85.54,97.0,68.36,1,1,1,1,1,1,0,1,Service,5.43
S0009,21,Male,ECE,6.91,1,3,77.16,84.55,96.0,1,1,0,0,0,0,0,0,,
S0010,21,Male,EEE,6.55,0,4,75.8,70.97,69.82,1,1,1,0,0,1,0,0,,
S0011,20,Male,CSE,7.77,1,0,80.37,58.78,70.85,1,0,1,0,1,0,0,1,Product,34.04
S0012,20,Male,EEE,7.83,3,4,77.99,82.29,75.41,1,0,1,1,1,0,0,1,Product,15.73
S0013,20,Male,IT,8.26,1,2,90.83,86.26,73.94,1,0,0,0,1,0,0,0,,
S0014,22,Female,IT,6.45,1,0,62.66,92.71,53.53,1,1,1,1,0,1,1,1,Product,15.25
S0015,24,Male,IT,9.33,1,5,75.23,83.7,74.73,1,1,1,0,0,0,0,1,Product,16.71
S0016,19,Male,CSE,5.91,3,3,82.27,87.89,93.32,1,1,1,0,1,1,1,1,Product,26.43
S0017,20,Male,IT,7.18,0,2,70.91,72.34,96.0,1,0,1,1,1,0,1,0,,
S0018,21,Female,ECE,8.03,1,2,80.0,75.93,88.2,0,1,1,1,1,1,0,1,Product,13.32
S0019,21,Male,IT,8.29,1,3,86.88,67.33,74.59,1,1,0,1,1,0,0,1,Product,14.28
S0020,22,Female,IT,7.32,2,2,73.23,64.86,96.0,1,1,1,0,1,0,0,1,Service,4.08
S0021,23,Male,CE,6.39,0,3,66.04,57.91,83.0,1,1,1,0,0,1,1,0,,
S0022,20,Prefer not to say,IT,6.57,0,3,89.67,45.44,96.0,0,1,1,1,1,1,1,0,,
S0023,20,Male,CSE,7.18,0,3,82.83,73.37,80.95,1,1,0,0,1,0,0,0,,
S0024,23,Female,ME,7.18,1,1,75.57,69.17,61.8,1,1,1,0,0,0,0,1,Service,5.42
S0025,20,Male,IT,9.31,2,0,77.16,78.45,88.1,1,0,1,0,1,0,0,1,Startup,16.62
S0026,21,Male,IT,6.8,1,1,76.33,70.32,87.4,1,1,1,1,1,0,0,0,,
S0027,23,Male,ME,8.43,0,1,73.1,93.53,94.93,1,1,1,1,0,0,0,1,Service,6.83
S0028,22,Male,IT,7.66,0,4,67.44,72.69,86.87,1,1,1,1,1,1,1,1,Product,13.05
S0029,20,Male,CSE,9.56,0,1,79.33,73.83,76.51,1,1,1,1,1,0,0,0,,
S0030,21,Male,CSE,7.18,2,3,76.6,65.06,72.71,1,1,1,1,1,0,1,0,,
S0031,20,Male,CSE,6.23,0,2,71.83,57.23,66.68,1,1,1,1,1,1,0,0,,
S0032,22,Male,CSE,7.39,1,3,71.14,60.54,78.42,1,1,1,1,1,0,0,1,Startup,10.84
S0033,20,Female,CSE,6.35,2,0,39.55,74.28,84.99,0,0,1,1,0,0,0,0,,
S0034,22,Female,CE,6.46,0,2,49.79,67.83,83.33,1,1,1,1,0,1,0,1,Service,5.25
S0035,22,Male,IT,7.88,1,2,92.88,80.75,78.98,1,0,1,0,0,1,1,0,,
S0036,23,Female,EEE,6.65,0,1,69.31,74.23,94.46,1,1,0,1,0,0,0,0,,
S0037,21,Male,ECE,7.66,0,2,69.28,75.89,92.28,1,0,1,1,1,0,0,1,Startup,11.57
S0038,22,Female,CSE,6.36,1,3,71.64,75.92,96.0,1,1,1,0,1,0,0,1,Startup,11.9
S0039,22,Male,ECE,8.02,0,2,72.53,97.0,83.84,1,0,0,0,0,0,0,1,Product,11.4
S0040,20,Prefer not to say,IT,7.16,2,1,97.11,76.56,72.51,1,1,1,1,1,0,0,1,Product,11.7
S0041,21,Male,CSE,7.03,1,2,71.91,67.61,90.29,1,1,1,0,1,0,1,0,,
S0042,21,Male,ECE,6.55,1,1,64.47,66.49,82.0,1,1,1,1,1,0,0,0,,
S0043,22,Male,CE,6.92,2,4,71.43,54.12,69.49,1,1,1,1,0,0,1,0,,
S0044,20,Female,CSE,7.41,0,2,75.04,68.19,77.91,1,1,0,0,1,0,1,1,Service,5.7
S0045,21,Male,ECE,5.92,2,3,54.72,55.62,96.0,1,1,1,1,1,1,0,0,,
S0046,22,Male,EEE,7.27,0,0,65.79,52.54,62.03,1,0,0,0,1,1,1,0,,
S0047,21,Female,CSE,6.22,1,2,66.3,71.9,96.0,1,1,0,1,1,0,1,1,Service,4.45
S0048,22,Female,CSE,6.28,1,1,54.24,55.96,96.0,1,0,1,1,1,1,0,0,,
S0049,20,Female,CSE,6.91,0,3,80.02,91.28,79.7,1,1,1,0,1,1,0,0,,
S0050,21,Female,ECE,7.22,0,2,75.7,75.28,89.38,0,1,1,0,1,0,0,1,Service,6.06
S0051,21,Male,ECE,8.05,2,1,55.67,80.76,67.48,0,1,1,1,0,0,0,0,,
S0052,20,Female,ECE,7.94,2,0,66.55,86.42,74.67,1,1,0,0,0,0,0,1,Startup,8.4
S0053,20,Female,CSE,5.17,1,1,50.69,59.03,66.2,0,0,1,0,1,0,1,0,,
S0054,22,Male,ME,6.6,0,1,57.89,60.99,96.0,1,0,0,0,0,1,0,1,Startup,14.07
S0055,20,Male,IT,6.53,1,2,66.26,63.39,83.8,1,1,1,1,1,1,0,1,Service,6.43
