metric_id,metric_name,definition,formula,numerator,denominator,eligible_population,null_handling,interpretation,limitations
M01,placement_rate,Percentage of total student population that secured a placement outcome.,(placed_count / total_students) * 100,SUM(placed = 1),COUNT(student_id),All 1500 students,None (placed has 0 missing),Proportion of students placed in cohort.,Does not reflect job quality or retention.
M02,placed_count,Total physical count of placed students.,SUM(placed = 1),SUM(placed = 1),N/A,All 1500 students,None,Absolute number of successful placements.,Raw count only; depends on cohort size.
M03,unplaced_count,Total physical count of unplaced students.,SUM(placed = 0),SUM(placed = 0),N/A,All 1500 students,None,Absolute number of unplaced students.,Raw count only.
M04,technical_skill_count,Total count of technical skills possessed by an individual student (range 0 to 7).,SUM(python + sql + excel + power_bi + dsa + cloud + cybersecurity),Sum of 7 binary skill flags,N/A,All 1500 students,None (all binary skill flags complete),Index of technical skill breadth.,Treats all 7 skills as equal weight.
M05,skill_prevalence,Percentage of total students possessing a specific technical skill.,(skill_count / total_students) * 100,SUM(skill_flag = 1),COUNT(student_id),All 1500 students,None,Adoption/penetration rate of skill in cohort.,Does not measure depth of expertise.
M06,skill_placement_rate,Placement rate among students possessing a specific technical skill.,(placed_with_skill / total_with_skill) * 100,SUM(placed = 1 AND skill = 1),SUM(skill = 1),Students with skill = 1,None,Placement success rate for skill holders.,Correlation only; not causal proof.
M07,skill_impact_spread,Percentage point difference in placement rate between students with vs without a skill.,placement_rate(skill=1) - placement_rate(skill=0),N/A,N/A,All 1500 students,None,Observed placement rate premium associated with skill.,Confounded by co-occurring skills and scores.
M08,median_package,Middle value of compensation package (LPA) among placed students.,PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY package_lpa),N/A,N/A,Placed students only (placed = 1),Excludes unplaced (package_lpa = NULL),Typical salary package achieved by placed cohort.,Conditional on placement; unavailable for unplaced.
M09,mean_package,Arithmetic average compensation package (LPA) among placed students.,AVG(package_lpa),SUM(package_lpa),COUNT(package_lpa),Placed students only (placed = 1),Excludes unplaced (package_lpa = NULL),Average package achieved by placed cohort.,Sensitive to extreme high/low package outliers.
M10,branch_placement_rate,Placement rate calculated within a specific academic branch.,(placed_in_branch / total_in_branch) * 100,SUM(placed = 1 AND branch = B),COUNT(branch = B),Students in branch B,None,Placement performance of academic branch.,Influenced by branch size and student preferences.
M11,score_difference,Difference in mean or median performance scores between placed and unplaced students.,metric_placed - metric_unplaced,N/A,N/A,All 1500 students,None (imputed scores complete),Observed score gap between placed and unplaced cohorts.,Observational association only.
M12,package_difference,Difference in median package between comparative segments (e.g. branches or company types).,median_pkg_groupA - median_pkg_groupB,N/A,N/A,Placed students only (placed = 1),Excludes unplaced,Compensation gap between employer or academic segments.,Conditional on placed subset size.
M13,cgpa_placement_rate,Placement rate within a defined CGPA performance band.,(placed_in_band / total_in_band) * 100,SUM(placed = 1 AND band = C),COUNT(band = C),Students in CGPA band,None,Academic performance tier placement rate.,Band boundary selection can alter visuals.
M14,coding_score_placement_rate,Placement rate within a defined coding score performance band.,(placed_in_band / total_in_band) * 100,SUM(placed = 1 AND band = K),COUNT(band = K),Students in coding band,None,Technical coding competency placement rate.,Banded summary masks fine-grained variation.
