student_id,field,original_value,cleaned_value,transformation,rule_id,defect_category,status
S0031,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0076,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0141,gender, Female ,Female,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0196,gender, Female ,Female,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0261,gender, Female ,Female,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0316,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0381,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0446,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0511,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0576,gender, Female ,Female,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0631,gender, Female ,Female,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0706,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0771,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0841,gender, Female ,Female,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0916,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0981,gender, Female ,Female,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S1051,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S1131,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S1221,gender, Male ,Male,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S1311,gender, Prefer not to say ,Prefer not to say,str.strip(),VAL-04,Gender Whitespace,RESOLVED
S0016,branch,cse,CSE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0043,branch,ce,CE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0089,branch,ece,ECE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0125,branch,it,IT,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0168,branch,cse,CSE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0211,branch,ece,ECE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0256,branch,it,IT,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0302,branch,me,ME,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0346,branch,ece,ECE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0413,branch,cse,CSE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0481,branch,it,IT,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0526,branch,eee,EEE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0591,branch,ece,ECE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0641,branch,ece,ECE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0711,branch,ece,ECE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0781,branch,it,IT,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0836,branch,ece,ECE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0911,branch,cse,CSE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0961,branch,ce,CE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S1021,branch,cse,CSE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S1116,branch,me,ME,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S1206,branch,it,IT,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S1281,branch,ce,CE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S1341,branch,ece,ECE,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S1421,branch,me,ME,str.strip().str.upper(),VAL-03,Branch Case,RESOLVED
S0011,company_type,product,Product,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0012,company_type,product,Product,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0014,company_type,product,Product,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0015,company_type,product,Product,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0016,company_type,product,Product,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0018,company_type,product,Product,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0019,company_type,product,Product,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0020,company_type,Service ,Service,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0024,company_type,Service ,Service,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0025,company_type,startup,Startup,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0027,company_type,Service ,Service,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0028,company_type,product,Product,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
S0032,company_type,startup,Startup,str.strip().str.title(),VAL-05,Company Type Formatting,RESOLVED
