variable,category,count,percentage_pct
gender,Male,841,56.07
gender,Female,585,39.0
gender,Prefer not to say,39,2.6
gender,Non-binary,35,2.33
branch,CSE,450,30.0
branch,IT,375,25.0
branch,ECE,300,20.0
branch,EEE,150,10.0
branch,ME,120,8.0
branch,CE,105,7.0
company_type,nan,550,36.67
company_type,Service,381,25.4
company_type,Product,304,20.27
company_type,Startup,222,14.8
company_type,Other,43,2.87
placed,1,950,63.33
placed,0,550,36.67
python_skill,1,1177,78.47
python_skill,0,323,21.53
sql_skill,1,1169,77.93
sql_skill,0,331,22.07
excel_skill,1,1258,83.87
excel_skill,0,242,16.13
power_bi_skill,1,793,52.87
power_bi_skill,0,707,47.13
dsa_skill,1,1057,70.47
dsa_skill,0,443,29.53
cloud_skill,0,1015,67.67
cloud_skill,1,485,32.33
cybersecurity_skill,0,1203,80.2
cybersecurity_skill,1,297,19.8
