variable,count_value,total_students,placed_students,unplaced_students,placement_rate_pct
projects,0,147,90,57,61.22
projects,1,383,225,158,58.75
projects,2,517,327,190,63.25
projects,3,287,188,99,65.51
projects,4,105,77,28,73.33
projects,5,35,25,10,71.43
projects,6,12,8,4,66.67
projects,7,5,3,2,60.0
projects,8,3,2,1,66.67
projects,9,4,4,0,100.0
projects,10,2,1,1,50.0
internships,0,669,404,265,60.39
internships,1,504,309,195,61.31
internships,2,238,174,64,73.11
internships,3,60,44,16,73.33
internships,4,18,12,6,66.67
internships,5,11,7,4,63.64
