group_by,category,placed_count,mean_package_lpa,median_package_lpa,std_lpa,min_lpa,q1_lpa,q3_lpa,max_lpa,iqr_lpa
Overall Placed,Placed Cohort (N=950),950,10.6181,9.695,5.56,3.29,6.06,14.2775,48.0,8.2175
Branch,CSE,287,10.8179,9.91,5.7849,3.5,5.97,14.62,42.67,8.65
Branch,IT,244,10.7581,9.855,5.8057,3.29,6.1425,14.2175,48.0,8.075
Branch,ECE,181,9.9269,8.74,4.848,3.33,6.01,13.18,25.36,7.17
Branch,EEE,99,10.5995,10.45,5.0619,3.84,6.22,13.82,27.68,7.6
Branch,ME,67,11.327,10.39,5.9975,3.67,6.0,15.53,27.75,9.53
Branch,CE,72,10.4511,7.89,5.7179,3.5,6.08,13.915,28.1,7.835
Company Type,Product,304,16.2555,15.575,4.9096,8.75,13.065,18.2625,48.0,5.1975
Company Type,Service,381,5.8955,6.03,0.9433,3.29,5.34,6.48,8.59,1.14
Company Type,Startup,222,12.0886,11.71,2.7563,6.31,10.1375,13.815,22.6,3.6775
Company Type,Other,43,5.0156,5.03,0.8145,3.5,4.515,5.6,6.6,1.085
