insight_id,source_type,source_file,source_metric,source_population,source_value,calculation_reference,validation_reference
INS-PLACEMENT-001,Phase 3 Verified Analytical Output,outputs/sql/01_bq01_overall_placement.csv,Placement Rate (%),"All Students (N=1,500)",63.33 (vs 36.67),P3 Baseline BQ / Global Population Proportion,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-PLACEMENT-002,Phase 3 Verified Analytical Output,outputs/sql/17_bq17_placed_vs_unplaced.csv,Group Mean Difference (Score Points / CGPA),"All Students (N=1,500)",78.36 (vs 72.95),P3 Baseline BQ / Grouped Mean Comparison,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-BRANCH-001,Phase 3 Verified Analytical Output,outputs/sql/02_bq02_branch_placement.csv,Branch Placement Rate (%),Branch Cohorts (N=105 to N=450),68.57 (vs 55.83),P3 Baseline BQ / Grouped Proportion Hierarchy,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-BRANCH-002,Phase 3 Verified Analytical Output,outputs/sql/02_bq02_branch_placement.csv,Subgroup Sample Size (N),Branch Subgroups (N=105 to N=450),7.0 (vs 30.0),P3 Baseline BQ / Sample Size Constraint Evaluation,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-SKILL-001,Phase 3 Verified Analytical Output,outputs/sql/11_bq11_skill_spread.csv,Placement Spread (pp),"All Students (N=1,500)",65.36 (vs 56.19),P3 Baseline BQ / Grouped Proportion Spread,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-SKILL-002,Phase 3 Verified Analytical Output,outputs/sql/11_bq11_skill_spread.csv,Placement Spread (pp),"All Students (N=1,500)",64.83 (vs 57.89),P3 Baseline BQ / Grouped Proportion Spread,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-SKILL-003,Phase 3 Verified Analytical Output,outputs/sql/11_bq11_skill_spread.csv,Placement Spread (pp),"All Students (N=1,500)",67.42 (vs 61.38),P3 Baseline BQ / Grouped Proportion Spread,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-SKILL-004,Phase 3 Verified Analytical Output,outputs/sql/11_bq11_skill_spread.csv,Placement Spread (pp),"All Students (N=1,500)",60.94 (vs 63.92),P3 Baseline BQ / Grouped Proportion Spread,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-SKILL-005,Phase 3 Verified Analytical Output,outputs/sql/12_bq12_skill_count_placement.csv,Placement Rate by Skill Count (%),"All Students (N=1,500)",70.72 (vs 47.54),P3 Baseline BQ / Bivariate Ordinal Frequency Analysis,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-ACADEMIC-001,Phase 3 Verified Analytical Output,outputs/sql/03_bq03_cgpa_placement.csv,Placement Rate by Band (%),"All Students (N=1,500)",74.31 (vs 58.75),P3 Baseline BQ / Categorical Banding Comparison,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-ACADEMIC-002,Phase 3 Verified Analytical Output,outputs/eda/12_correlation_matrix.csv,Point-Biserial Correlation & Mean Difference,"All Students (N=1,500)",7.81 (vs 7.22),P3 Baseline BQ / Point-Biserial Correlation (r_pb),Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-PREPARATION-001,Phase 3 Verified Analytical Output,outputs/sql/04_bq04_coding_placement.csv,Placement Rate by Coding Band (%),"All Students (N=1,500)",80.16 (vs 37.21),P3 Baseline BQ / Categorical Banding Comparison,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-PREPARATION-002,Phase 3 Verified Analytical Output,outputs/sql/05_bq05_aptitude_placement.csv,Placement Rate by Aptitude Band (%),"All Students (N=1,500)",76.19 (vs 53.78),P3 Baseline BQ / Categorical Banding Comparison,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-PREPARATION-003,Phase 3 Verified Analytical Output,outputs/sql/07_bq07_projects_placement.csv,Placement Rate by Project Count (%),"All Students (N=1,500)",73.33 (vs 58.75),P3 Baseline BQ / Grouped Frequency Comparison,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-PREPARATION-004,Phase 3 Verified Analytical Output,outputs/sql/08_bq08_internships_placement.csv,Placement Rate by Internship Count (%),"All Students (N=1,500)",73.11 (vs 60.39),P3 Baseline BQ / Grouped Frequency Comparison,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-COMPENSATION-001,Phase 3 Verified Analytical Output,outputs/sql/15_bq15_package_by_company.csv,Mean Package (LPA),Placed Cohort Only (N=950),16.26 (vs 5.9),P3 Baseline BQ / Post-Placement Grouped Mean & Median Analysis,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-COMPENSATION-002,Phase 3 Verified Analytical Output,outputs/eda/11_package_analysis.csv,"Mean, Median, IQR Package (LPA)",Placed Cohort Only (N=950),10.62 (vs 9.7),P3 Baseline BQ / Distributional Summary Statistics,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
INS-READINESS-001,Phase 3 Verified Analytical Output,docs/placement_readiness_framework.md,Status Indicator,"All Students (N=1,500)",0.0 (vs 0.0),P3 Baseline BQ / P4-P1 Specification Scope Boundary Compliance Check,Cross-validated P3 Dual-Path Engine (0 Discrepancies)
