insight_id,category,title,priority,evidence_strength,magnitude_impact,actionability,priority_rationale
INS-PLACEMENT-001,INS-PLACEMENT,"What is the overall baseline placement rate across the 1,500 student population?",HIGH,STRONG,26.66 Percentage-Point Difference,HIGH,Classified as HIGH based on quantitative magnitude (26.66) and analytical relevance.
INS-PLACEMENT-002,INS-PLACEMENT,How do core academic and preparation score means differ between placed and unplaced cohorts?,HIGH,STRONG,5.41 Score Point Spread (Coding),HIGH,Classified as HIGH based on quantitative magnitude (5.41) and analytical relevance.
INS-BRANCH-001,INS-BRANCH,How do observed placement rates vary across the six academic branches?,MEDIUM,MODERATE,12.74 Percentage-Point Spread,MEDIUM,Classified as MEDIUM based on quantitative magnitude (12.74) and analytical relevance.
INS-BRANCH-002,INS-BRANCH,What is the impact of subgroup sample size variance across branches on analytical reliability?,LOW,DESCRIPTIVE,23.0 Percentage Share,MEDIUM,Classified as LOW based on quantitative magnitude (23.0) and analytical relevance.
INS-SKILL-001,INS-SKILL,What is the observed placement rate spread associated with SQL skill possession?,HIGH,STRONG,9.17 Percentage-Point Spread,HIGH,Classified as HIGH based on quantitative magnitude (9.17) and analytical relevance.
INS-SKILL-002,INS-SKILL,What is the observed placement rate spread associated with Python skill possession?,HIGH,STRONG,6.94 Percentage-Point Spread,HIGH,Classified as HIGH based on quantitative magnitude (6.94) and analytical relevance.
INS-SKILL-003,INS-SKILL,What is the observed placement spread associated with Cloud Computing skill possession?,MEDIUM,MODERATE,6.04 Percentage-Point Spread,MEDIUM,Classified as MEDIUM based on quantitative magnitude (6.04) and analytical relevance.
INS-SKILL-004,INS-SKILL,What is the observed placement spread for Cybersecurity skill possession?,MEDIUM,MODERATE,-2.98 Percentage-Point Spread,MEDIUM,Classified as MEDIUM based on quantitative magnitude (-2.98) and analytical relevance.
INS-SKILL-005,INS-SKILL,How does technical skill count breadth relate to observed placement rates?,HIGH,STRONG,23.18 Percentage-Point Spread,HIGH,Classified as HIGH based on quantitative magnitude (23.18) and analytical relevance.
INS-ACADEMIC-001,INS-ACADEMIC,How do observed placement rates vary across CGPA academic performance bands?,HIGH,STRONG,15.56 Percentage-Point Spread,HIGH,Classified as HIGH based on quantitative magnitude (15.56) and analytical relevance.
INS-ACADEMIC-002,INS-ACADEMIC,What is the statistical association between CGPA score and placement status?,HIGH,STRONG,0.59 Mean CGPA Spread (pts),HIGH,Classified as HIGH based on quantitative magnitude (0.59) and analytical relevance.
INS-PREPARATION-001,INS-PREPARATION,What is the observed placement spread across coding score performance bands?,HIGH,STRONG,42.95 Percentage-Point Spread,HIGH,Classified as HIGH based on quantitative magnitude (42.95) and analytical relevance.
INS-PREPARATION-002,INS-PREPARATION,How do aptitude scores associate with placement rate differences?,HIGH,STRONG,22.41 Percentage-Point Spread,HIGH,Classified as HIGH based on quantitative magnitude (22.41) and analytical relevance.
INS-PREPARATION-003,INS-PREPARATION,What is the association between practical project count and placement rate?,MEDIUM,MODERATE,14.58 Percentage-Point Spread,MEDIUM,Classified as MEDIUM based on quantitative magnitude (14.58) and analytical relevance.
INS-PREPARATION-004,INS-PREPARATION,How does industry internship experience associate with student placement rates?,MEDIUM,MODERATE,12.72 Percentage-Point Spread,MEDIUM,Classified as MEDIUM based on quantitative magnitude (12.72) and analytical relevance.
INS-COMPENSATION-001,INS-COMPENSATION,How does compensation (package LPA) vary across recruiting company types among placed students?,HIGH,STRONG,10.36 Mean Package Spread (LPA),HIGH,Classified as HIGH based on quantitative magnitude (10.36) and analytical relevance.
INS-COMPENSATION-002,INS-COMPENSATION,What are the overall compensation distribution characteristics for placed students?,HIGH,STRONG,8.22 IQR Package Spread (LPA),HIGH,Classified as HIGH based on quantitative magnitude (8.22) and analytical relevance.
INS-READINESS-001,INS-READINESS,What is the status of student-level Placement Readiness Index (PRI) results in Phase 4 Part 2?,LOW,DESCRIPTIVE,0.0 Not Applicable,MEDIUM,Classified as LOW based on quantitative magnitude (0.0) and analytical relevance.
