table_name,field_name,data_type,source_field,field_role,nullable,business_definition,allowed_values,leakage_status,notes
Students,student_id,Text,student_id,Primary Key,False,Unique student identifier (S0001-S1500),S0001-S1500,PREPARATION INPUT,Canonical student key
Students,age,Whole Number,age,Demographic Attribute,False,Student age in years,21-26,PREPARATION INPUT,Excluded from PRI calculation
Students,gender,Text,gender,Demographic Attribute,False,Gender category,"Female, Male, Non-binary, Prefer not to say",PREPARATION INPUT,Excluded from PRI calculation
Students,branch,Text,branch,Academic Dimension,False,Academic branch code,"CE, CSE, ECE, EEE, IT, ME",PREPARATION INPUT,Academic branch slice
Students,cgpa,Decimal Number,cgpa,Academic Measure,False,Cumulative Grade Point Average,0.00 - 10.00,PREPARATION INPUT,PRI component (15% weight)
Students,internships,Whole Number,internships,Preparation Measure,False,Number of completed internships,0 - 3,PREPARATION INPUT,PRI component (15% weight)
Students,projects,Whole Number,projects,Preparation Measure,False,Number of completed technical projects,0 - 4,PREPARATION INPUT,PRI component (15% weight)
Students,coding_score,Decimal Number,coding_score,Preparation Measure,False,Coding test score percentage,0.00 - 100.00,PREPARATION INPUT,Excluded from baseline PRI
Students,aptitude_score,Decimal Number,aptitude_score,Preparation Measure,False,Aptitude test score percentage,0.00 - 100.00,PREPARATION INPUT,PRI component (20% weight)
Students,communication_score,Decimal Number,communication_score,Preparation Measure,False,Communication assessment score,0.00 - 100.00,PREPARATION INPUT,PRI component (10% weight)
Students,python_skill,Whole Number,python_skill,Skill Indicator,False,Python skill presence flag,"0, 1",PREPARATION INPUT,Technical skill binary flag
Students,sql_skill,Whole Number,sql_skill,Skill Indicator,False,SQL skill presence flag,"0, 1",PREPARATION INPUT,Technical skill binary flag
Students,excel_skill,Whole Number,excel_skill,Skill Indicator,False,Excel skill presence flag,"0, 1",PREPARATION INPUT,Technical skill binary flag
Students,power_bi_skill,Whole Number,power_bi_skill,Skill Indicator,False,Power BI skill presence flag,"0, 1",PREPARATION INPUT,Technical skill binary flag
Students,dsa_skill,Whole Number,dsa_skill,Skill Indicator,False,DSA skill presence flag,"0, 1",PREPARATION INPUT,Technical skill binary flag
Students,cloud_skill,Whole Number,cloud_skill,Skill Indicator,False,Cloud Computing skill presence flag,"0, 1",PREPARATION INPUT,Technical skill binary flag
Students,cybersecurity_skill,Whole Number,cybersecurity_skill,Skill Indicator,False,Cybersecurity skill presence flag,"0, 1",PREPARATION INPUT,Technical skill binary flag
Students,technical_skill_count,Whole Number,technical_skill_count,Derived Skill Attribute,False,Total technical skills owned out of 7,0 - 7,PREPARATION INPUT,PRI component (25% weight)
Students,skill_gap_count,Whole Number,skill_gap_count,Derived Skill Attribute,False,Total missing technical skills out of 7,0 - 7,PREPARATION INPUT,Invariant: count + gap = 7
Students,missing_skills,Text,missing_skills,Derived Skill Attribute,True,Semicolon-separated list of missing skills,Text string,PREPARATION INPUT,Skill gap narrative list
Students,pri_score,Decimal Number,pri_score,Placement Readiness Metric,False,Placement Readiness Index composite score,0.00 - 100.00,READINESS METRIC,Validated 6-component PRI
Students,readiness_category,Text,readiness_category,Readiness Tier,False,Placement readiness classification category,"High Readiness, Moderate Readiness, Needs Improvement, High Improvement Priority",READINESS METRIC,Readiness tier slice
Students,preparation_segment,Text,preparation_segment,Preparation Segment,False,Student preparation quadrant category,"Comprehensive High Performers, Technical Specialists, Academic Generalists, High Support Priority",PREPARATION SEGMENT,Rule-based quadrant slice
Students,placed,Whole Number,placed,Placement Outcome,False,Placement status outcome flag,"0, 1",PLACEMENT OUTCOME (POST-ANALYSIS ONLY),"Target variable (1=Placed, 0=Unplaced)"
Students,company_type,Text,company_type,Compensation Attribute,True,Hiring company category,"Service, Product, Startup, MNC, NULL",COMPENSATION (POST-ANALYSIS ONLY),NULL for unplaced students
