measure_name,measure_group,business_definition,dax_expression_reference,source_table,source_fields,population,filter_behavior,format,leakage_status,validation_status,intended_page
Total Students,01 — Population,Total count of unique students in cohort,DISTINCTCOUNT(Students[student_id]),Students,student_id,"Whole Population (N=1,500)",Dynamic under slicers,"#,##0",PREPARATION / DEMOGRAPHIC,VALIDATED,Command Center / Student Analytics / Reports
Placed Students,01 — Population,Total count of placed students,"CALCULATE(COUNTROWS(Students), Students[placed] = 1)",Students,placed,Placed Cohort (N=950),Dynamic under slicers,"#,##0",PLACEMENT OUTCOME (POST-ANALYSIS ONLY),VALIDATED,Command Center / Student Analytics / Reports
Unplaced Students,01 — Population,Total count of unplaced students,[Total Students] - [Placed Students],Students,placed,Unplaced Cohort (N=550),Dynamic under slicers,"#,##0",PLACEMENT OUTCOME (POST-ANALYSIS ONLY),VALIDATED,Command Center / Student Analytics / Reports
Placement Rate,01 — Population,Percentage of total students who are placed,"DIVIDE([Placed Students], [Total Students], 0)",Students,placed,Whole Population,Dynamic under slicers,0.00%,PLACEMENT OUTCOME (POST-ANALYSIS ONLY),VALIDATED,Command Center / Student Analytics / Reports
Average CGPA,02 — Academic,Mean Cumulative Grade Point Average,AVERAGE(Students[cgpa]),Students,cgpa,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Student Analytics
Median CGPA,02 — Academic,Median Cumulative Grade Point Average,MEDIAN(Students[cgpa]),Students,cgpa,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Student Analytics
Average Coding Score,03 — Preparation,Mean coding score,AVERAGE(Students[coding_score]),Students,coding_score,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Student Analytics
Median Coding Score,03 — Preparation,Median coding score,MEDIAN(Students[coding_score]),Students,coding_score,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Student Analytics
Average Aptitude Score,03 — Preparation,Mean aptitude score,AVERAGE(Students[aptitude_score]),Students,aptitude_score,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Student Analytics
Median Aptitude Score,03 — Preparation,Median aptitude score,MEDIAN(Students[aptitude_score]),Students,aptitude_score,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Student Analytics
Average Communication Score,03 — Preparation,Mean communication score,AVERAGE(Students[communication_score]),Students,communication_score,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Student Analytics
Median Communication Score,03 — Preparation,Median communication score,MEDIAN(Students[communication_score]),Students,communication_score,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Student Analytics
Average Projects,03 — Preparation,Mean technical projects completed,AVERAGE(Students[projects]),Students,projects,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Student Analytics
Average Internships,03 — Preparation,Mean internships completed,AVERAGE(Students[internships]),Students,internships,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Student Analytics
CGPA Difference Placed vs Unplaced,04 — Differences,Observed mean difference in cgpa between placed and unplaced cohorts,"CALCULATE(AVERAGE(Students[cgpa]), Students[placed] = 1) - CALCULATE(AVERAGE(Students[cgpa]), Students[placed] = 0)",Students,"cgpa, placed",Placed vs Unplaced Cohorts,Dynamic under slicers,0.00,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
Coding Difference Placed vs Unplaced,04 — Differences,Observed mean difference in coding_score between placed and unplaced cohorts,"CALCULATE(AVERAGE(Students[coding_score]), Students[placed] = 1) - CALCULATE(AVERAGE(Students[coding_score]), Students[placed] = 0)",Students,"coding_score, placed",Placed vs Unplaced Cohorts,Dynamic under slicers,0.00,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
Aptitude Difference Placed vs Unplaced,04 — Differences,Observed mean difference in aptitude_score between placed and unplaced cohorts,"CALCULATE(AVERAGE(Students[aptitude_score]), Students[placed] = 1) - CALCULATE(AVERAGE(Students[aptitude_score]), Students[placed] = 0)",Students,"aptitude_score, placed",Placed vs Unplaced Cohorts,Dynamic under slicers,0.00,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
Communication Difference Placed vs Unplaced,04 — Differences,Observed mean difference in communication_score between placed and unplaced cohorts,"CALCULATE(AVERAGE(Students[communication_score]), Students[placed] = 1) - CALCULATE(AVERAGE(Students[communication_score]), Students[placed] = 0)",Students,"communication_score, placed",Placed vs Unplaced Cohorts,Dynamic under slicers,0.00,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
Skill Count Difference Placed vs Unplaced,04 — Differences,Observed mean difference in technical_skill_count between placed and unplaced cohorts,"CALCULATE(AVERAGE(Students[technical_skill_count]), Students[placed] = 1) - CALCULATE(AVERAGE(Students[technical_skill_count]), Students[placed] = 0)",Students,"technical_skill_count, placed",Placed vs Unplaced Cohorts,Dynamic under slicers,0.00,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
Average Technical Skill Count,05 — Skills,Mean technical skills owned out of 7,AVERAGE(Students[technical_skill_count]),Students,technical_skill_count,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Command Center / Student Analytics
Average Skill Gap Count,05 — Skills,Mean missing technical skills out of 7,AVERAGE(Students[skill_gap_count]),Students,skill_gap_count,Whole Population,Dynamic under slicers,0.00,PREPARATION INPUT,VALIDATED,Student Analytics
Python Skill Holders,05 — Skills,Count of students possessing Python skill,"CALCULATE([Total Students], Students[python_skill] = 1)",Students,python_skill,Python Skill Holders,Dynamic under slicers,"#,##0",PREPARATION INPUT,VALIDATED,Student Analytics
Python Skill Prevalence,05 — Skills,Percentage of total students possessing Python skill,"DIVIDE([Python Skill Holders], [Total Students], 0)",Students,python_skill,Whole Population,Dynamic under slicers,0.00%,PREPARATION INPUT,VALIDATED,Command Center / Student Analytics
Python Skill Placement Rate,05 — Skills,Observed placement rate among students possessing Python skill,"DIVIDE(CALCULATE([Placed Students], Students[python_skill] = 1), [Python Skill Holders], 0)",Students,"python_skill, placed",Python Skill Holders,Dynamic under slicers,0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
Python Skill Placement Spread,05 — Skills,Observed placement rate spread between Python holders and non-holders (percentage points),"[Python Skill Placement Rate] - DIVIDE(CALCULATE([Placed Students], Students[python_skill] = 0), CALCULATE([Total Students], Students[python_skill] = 0), 0)",Students,"python_skill, placed",Holders vs Non-Holders,Dynamic under slicers,+0.00%;-0.00%;0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Command Center / Student Analytics
SQL Skill Holders,05 — Skills,Count of students possessing SQL skill,"CALCULATE([Total Students], Students[sql_skill] = 1)",Students,sql_skill,SQL Skill Holders,Dynamic under slicers,"#,##0",PREPARATION INPUT,VALIDATED,Student Analytics
SQL Skill Prevalence,05 — Skills,Percentage of total students possessing SQL skill,"DIVIDE([SQL Skill Holders], [Total Students], 0)",Students,sql_skill,Whole Population,Dynamic under slicers,0.00%,PREPARATION INPUT,VALIDATED,Command Center / Student Analytics
SQL Skill Placement Rate,05 — Skills,Observed placement rate among students possessing SQL skill,"DIVIDE(CALCULATE([Placed Students], Students[sql_skill] = 1), [SQL Skill Holders], 0)",Students,"sql_skill, placed",SQL Skill Holders,Dynamic under slicers,0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
SQL Skill Placement Spread,05 — Skills,Observed placement rate spread between SQL holders and non-holders (percentage points),"[SQL Skill Placement Rate] - DIVIDE(CALCULATE([Placed Students], Students[sql_skill] = 0), CALCULATE([Total Students], Students[sql_skill] = 0), 0)",Students,"sql_skill, placed",Holders vs Non-Holders,Dynamic under slicers,+0.00%;-0.00%;0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Command Center / Student Analytics
Excel Skill Holders,05 — Skills,Count of students possessing Excel skill,"CALCULATE([Total Students], Students[excel_skill] = 1)",Students,excel_skill,Excel Skill Holders,Dynamic under slicers,"#,##0",PREPARATION INPUT,VALIDATED,Student Analytics
Excel Skill Prevalence,05 — Skills,Percentage of total students possessing Excel skill,"DIVIDE([Excel Skill Holders], [Total Students], 0)",Students,excel_skill,Whole Population,Dynamic under slicers,0.00%,PREPARATION INPUT,VALIDATED,Command Center / Student Analytics
Excel Skill Placement Rate,05 — Skills,Observed placement rate among students possessing Excel skill,"DIVIDE(CALCULATE([Placed Students], Students[excel_skill] = 1), [Excel Skill Holders], 0)",Students,"excel_skill, placed",Excel Skill Holders,Dynamic under slicers,0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Student Analytics
Excel Skill Placement Spread,05 — Skills,Observed placement rate spread between Excel holders and non-holders (percentage points),"[Excel Skill Placement Rate] - DIVIDE(CALCULATE([Placed Students], Students[excel_skill] = 0), CALCULATE([Total Students], Students[excel_skill] = 0), 0)",Students,"excel_skill, placed",Holders vs Non-Holders,Dynamic under slicers,+0.00%;-0.00%;0.00%,OBSERVED EVALUATION (NON-CAUSAL),VALIDATED,Command Center / Student Analytics
Power BI Skill Holders,05 — Skills,Count of students possessing Power BI skill,"CALCULATE([Total Students], Students[power_bi_skill] = 1)",Students,power_bi_skill,Power BI Skill Holders,Dynamic under slicers,"#,##0",PREPARATION INPUT,VALIDATED,Student Analytics
