column_name,inferred_dtype,non_null_count,null_count,null_percentage,unique_value_count,min_value,max_value,sample_values
student_id,str,1505,0,0.0,1500,N/A,N/A,"S0001, S0002, S0003"
age,int64,1505,0,0.0,8,18,25,"22, 23, 21"
gender,str,1505,0,0.0,7,N/A,N/A,"Male, Female, Prefer not to say"
branch,str,1505,0,0.0,12,N/A,N/A,"ME, CSE, IT"
cgpa,float64,1505,0,0.0,439,4.0,9.85,"7.15, 6.7, 7.54"
internships,int64,1505,0,0.0,6,0,5,"1, 2, 0"
projects,int64,1505,0,0.0,11,0,10,"1, 0, 2"
coding_score,float64,1505,0,0.0,1242,32.99,98.5,"68.47, 70.76, 78.75"
aptitude_score,float64,1505,0,0.0,1251,30.0,97.0,"81.87, 61.89, 61.6"
communication_score,float64,1490,15,1.0,1069,35.0,96.0,"72.59, 75.97, 59.14"
python_skill,str,1505,0,0.0,4,0.0,1.0,"1, 0, No"
sql_skill,int64,1505,0,0.0,2,0,1,"1, 0"
excel_skill,int64,1505,0,0.0,2,0,1,"1, 0"
power_bi_skill,int64,1505,0,0.0,2,0,1,"1, 0"
dsa_skill,int64,1505,0,0.0,2,0,1,"1, 0"
cloud_skill,int64,1505,0,0.0,2,0,1,"0, 1"
cybersecurity_skill,int64,1505,0,0.0,2,0,1,"1, 0"
placed,int64,1505,0,0.0,2,0,1,"1, 0"
company_type,str,952,553,36.74,8,N/A,N/A,"Service, Startup, Product"
package_lpa,float64,952,553,36.74,682,3.29,48.0,"5.36, 13.46, 14.43"
