column_name,total_rows,missing_count,missing_percentage,expectation_category
student_id,1505,0,0.0,COMPLETE (0 missing)
age,1505,0,0.0,COMPLETE (0 missing)
gender,1505,0,0.0,COMPLETE (0 missing)
branch,1505,0,0.0,COMPLETE (0 missing)
cgpa,1505,0,0.0,COMPLETE (0 missing)
internships,1505,0,0.0,COMPLETE (0 missing)
projects,1505,0,0.0,COMPLETE (0 missing)
coding_score,1505,0,0.0,COMPLETE (0 missing)
aptitude_score,1505,0,0.0,COMPLETE (0 missing)
communication_score,1505,15,1.0,UNEXPECTED MISSING (Controlled raw defect injected)
python_skill,1505,0,0.0,COMPLETE (0 missing)
sql_skill,1505,0,0.0,COMPLETE (0 missing)
excel_skill,1505,0,0.0,COMPLETE (0 missing)
power_bi_skill,1505,0,0.0,COMPLETE (0 missing)
dsa_skill,1505,0,0.0,COMPLETE (0 missing)
cloud_skill,1505,0,0.0,COMPLETE (0 missing)
cybersecurity_skill,1505,0,0.0,COMPLETE (0 missing)
placed,1505,0,0.0,COMPLETE (0 missing)
company_type,1505,553,36.74,EXPECTED NULL (Mandatory for unplaced students)
package_lpa,1505,553,36.74,EXPECTED NULL (Mandatory for unplaced students)
