ordinal,column_name,in_raw,in_clean,clean_dtype,status
1,student_id,True,True,str,PASS
2,age,True,True,int64,PASS
3,gender,True,True,str,PASS
4,branch,True,True,str,PASS
5,cgpa,True,True,float64,PASS
6,internships,True,True,int64,PASS
7,projects,True,True,int64,PASS
8,coding_score,True,True,float64,PASS
9,aptitude_score,True,True,float64,PASS
10,communication_score,True,True,float64,PASS
11,python_skill,True,True,int64,PASS
12,sql_skill,True,True,int64,PASS
13,excel_skill,True,True,int64,PASS
14,power_bi_skill,True,True,int64,PASS
15,dsa_skill,True,True,int64,PASS
16,cloud_skill,True,True,int64,PASS
17,cybersecurity_skill,True,True,int64,PASS
18,placed,True,True,int64,PASS
19,company_type,True,True,str,PASS
20,package_lpa,True,True,float64,PASS
