path,filename,extension,size_bytes,classification,severity,confidence,is_protected,referenced_by_code,referenced_by_docs,safe_to_remove,reason
README.md,README.md,.md,2205,REQUIRED,LOW,HIGH,True,True,True,NO,Protected project artifact/source file
00_project_blueprint/01_project_charter.md,01_project_charter.md,.md,1304,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/02_problem_statement.md,02_problem_statement.md,.md,829,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/03_business_requirements.md,03_business_requirements.md,.md,954,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/04_functional_requirements.md,04_functional_requirements.md,.md,917,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/05_non_functional_requirements.md,05_non_functional_requirements.md,.md,928,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/06_scope_and_boundaries.md,06_scope_and_boundaries.md,.md,911,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/07_stakeholders_and_users.md,07_stakeholders_and_users.md,.md,819,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/08_analytical_questions.md,08_analytical_questions.md,.md,1588,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/09_success_metrics.md,09_success_metrics.md,.md,809,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/10_dataset_specification.md,10_dataset_specification.md,.md,7682,REQUIRED,LOW,HIGH,True,False,True,NO,Protected baseline/blueprint document
00_project_blueprint/11_data_dictionary.md,11_data_dictionary.md,.md,5018,REQUIRED,LOW,HIGH,True,False,True,NO,Protected baseline/blueprint document
00_project_blueprint/12_data_quality_rules.md,12_data_quality_rules.md,.md,4464,REQUIRED,LOW,HIGH,True,False,True,NO,Protected baseline/blueprint document
00_project_blueprint/13_data_privacy_and_ethics.md,13_data_privacy_and_ethics.md,.md,2452,REQUIRED,LOW,HIGH,True,False,True,NO,Protected baseline/blueprint document
00_project_blueprint/14_analysis_plan.md,14_analysis_plan.md,.md,1312,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/15_sql_requirements.md,15_sql_requirements.md,.md,1262,REQUIRED,LOW,HIGH,True,False,True,NO,Protected baseline/blueprint document
00_project_blueprint/16_dashboard_requirements.md,16_dashboard_requirements.md,.md,1253,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/17_insight_framework.md,17_insight_framework.md,.md,748,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/18_placement_readiness_spec.md,18_placement_readiness_spec.md,.md,1607,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/19_technology_stack.md,19_technology_stack.md,.md,821,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/20_project_architecture.md,20_project_architecture.md,.md,1772,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/21_folder_structure.md,21_folder_structure.md,.md,1069,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/22_phase_dependencies.md,22_phase_dependencies.md,.md,1050,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/23_phase_checkpoints.md,23_phase_checkpoints.md,.md,1903,REQUIRED,LOW,HIGH,True,False,True,NO,Protected baseline/blueprint document
00_project_blueprint/24_validation_strategy.md,24_validation_strategy.md,.md,1348,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/25_error_recovery_strategy.md,25_error_recovery_strategy.md,.md,1835,REQUIRED,LOW,HIGH,True,False,True,NO,Protected baseline/blueprint document
00_project_blueprint/26_risk_register.md,26_risk_register.md,.md,1420,REQUIRED,LOW,HIGH,True,False,False,NO,Protected baseline/blueprint document
00_project_blueprint/27_7_day_execution_plan.md,27_7_day_execution_plan.md,.md,1199,REQUIRED,LOW,HIGH,True,False,True,NO,Protected baseline/blueprint document
