file_path,referenced_by_code_count,code_referencing_files,referenced_by_docs_count,docs_referencing_files,status
.gitignore,0,,0,,UNREFERENCED
README.md,1,scripts/audit_cleanup.py,6,00_project_blueprint/13_data_privacy_and_ethics.md; 00_project_blueprint/16_dashboard_requirements.md; 00_project_blueprint/21_folder_structure.md,REFERENCED
00_project_blueprint/01_project_charter.md,0,,0,,UNREFERENCED
00_project_blueprint/02_problem_statement.md,0,,0,,UNREFERENCED
00_project_blueprint/03_business_requirements.md,0,,0,,UNREFERENCED
00_project_blueprint/04_functional_requirements.md,0,,0,,UNREFERENCED
00_project_blueprint/05_non_functional_requirements.md,0,,0,,UNREFERENCED
00_project_blueprint/06_scope_and_boundaries.md,0,,0,,UNREFERENCED
00_project_blueprint/07_stakeholders_and_users.md,0,,0,,UNREFERENCED
00_project_blueprint/08_analytical_questions.md,0,,0,,UNREFERENCED
00_project_blueprint/09_success_metrics.md,0,,0,,UNREFERENCED
00_project_blueprint/10_dataset_specification.md,0,,4,00_project_blueprint/29_change_log.md; 00_project_blueprint/31_phase_1_part_1_completion_report.md; docs/AGENT_HANDOFF.md,REFERENCED
00_project_blueprint/11_data_dictionary.md,0,,3,00_project_blueprint/31_phase_1_part_1_completion_report.md; 00_project_blueprint/32_phase_1_part_2_completion_report.md; docs/dataset_strategy.md,REFERENCED
00_project_blueprint/12_data_quality_rules.md,0,,1,00_project_blueprint/31_phase_1_part_1_completion_report.md,REFERENCED
00_project_blueprint/13_data_privacy_and_ethics.md,0,,1,00_project_blueprint/31_phase_1_part_1_completion_report.md,REFERENCED
00_project_blueprint/14_analysis_plan.md,0,,0,,UNREFERENCED
00_project_blueprint/15_sql_requirements.md,0,,1,00_project_blueprint/29_change_log.md,REFERENCED
00_project_blueprint/16_dashboard_requirements.md,0,,0,,UNREFERENCED
00_project_blueprint/17_insight_framework.md,0,,0,,UNREFERENCED
00_project_blueprint/18_placement_readiness_spec.md,0,,0,,UNREFERENCED
00_project_blueprint/19_technology_stack.md,0,,0,,UNREFERENCED
00_project_blueprint/20_project_architecture.md,0,,0,,UNREFERENCED
00_project_blueprint/21_folder_structure.md,0,,0,,UNREFERENCED
00_project_blueprint/22_phase_dependencies.md,0,,0,,UNREFERENCED
00_project_blueprint/23_phase_checkpoints.md,0,,3,README.md; 00_project_blueprint/25_error_recovery_strategy.md; docs/AGENT_HANDOFF.md,REFERENCED
00_project_blueprint/24_validation_strategy.md,0,,0,,UNREFERENCED
00_project_blueprint/25_error_recovery_strategy.md,0,,2,README.md; docs/AGENT_HANDOFF.md,REFERENCED
00_project_blueprint/26_risk_register.md,0,,0,,UNREFERENCED
00_project_blueprint/27_7_day_execution_plan.md,0,,1,00_project_blueprint/30_phase_0_completion_report.md,REFERENCED
00_project_blueprint/28_definition_of_done.md,0,,0,,UNREFERENCED
00_project_blueprint/29_change_log.md,0,,3,README.md; 00_project_blueprint/25_error_recovery_strategy.md; 00_project_blueprint/38_phase_2_part_2_completion_report.md,REFERENCED
00_project_blueprint/30_phase_0_completion_report.md,1,scripts/audit_project.py,2,README.md; docs/AGENT_HANDOFF.md,REFERENCED
00_project_blueprint/31_phase_1_part_1_completion_report.md,0,,0,,UNREFERENCED
00_project_blueprint/32_phase_1_part_2_completion_report.md,0,,0,,UNREFERENCED
00_project_blueprint/33_phase_1_part_3_completion_report.md,0,,0,,UNREFERENCED
00_project_blueprint/34_phase_1_part_4_completion_report.md,0,,0,,UNREFERENCED
00_project_blueprint/35_phase_1_part_5_completion_report.md,0,,0,,UNREFERENCED
00_project_blueprint/36_phase_1_completion_report.md,1,scripts/audit_project.py,0,,REFERENCED
00_project_blueprint/37_phase_2_part_1_completion_report.md,1,scripts/audit_project.py,1,00_project_blueprint/29_change_log.md,REFERENCED
00_project_blueprint/38_phase_2_part_2_completion_report.md,1,scripts/audit_project.py,1,00_project_blueprint/29_change_log.md,REFERENCED
00_project_blueprint/39_phase_2_part_3_completion_report.md,1,scripts/audit_project.py,1,00_project_blueprint/29_change_log.md,REFERENCED
00_project_blueprint/40_phase_2_part_4_completion_report.md,1,scripts/audit_project.py,1,00_project_blueprint/29_change_log.md,REFERENCED
00_project_blueprint/41_phase_2_part_5_completion_report.md,1,scripts/audit_project.py,1,00_project_blueprint/29_change_log.md,REFERENCED
00_project_blueprint/42_phase_2_completion_report.md,1,scripts/audit_project.py,1,00_project_blueprint/29_change_log.md,REFERENCED
dashboard/.gitkeep,1,scripts/audit_cleanup.py,0,,REFERENCED
data/processed/.gitkeep,1,scripts/audit_cleanup.py,0,,REFERENCED
data/processed/placementlens_students_clean.csv,6,scripts/audit_cleanup.py; scripts/audit_project.py; scripts/clean_dataset.py,23,00_project_blueprint/10_dataset_specification.md; 00_project_blueprint/20_project_architecture.md; 00_project_blueprint/29_change_log.md,REFERENCED
data/processed/placementlens_students_structural_clean.csv,2,scripts/clean_standardize.py; scripts/clean_structural.py,7,00_project_blueprint/29_change_log.md; 00_project_blueprint/39_phase_2_part_3_completion_report.md; 00_project_blueprint/40_phase_2_part_4_completion_report.md,REFERENCED
data/raw/.gitkeep,1,scripts/audit_cleanup.py,0,,REFERENCED
data/raw/placementlens_students_raw.csv,10,scripts/audit_cleanup.py; scripts/audit_project.py; scripts/clean_dataset.py,33,00_project_blueprint/10_dataset_specification.md; 00_project_blueprint/12_data_quality_rules.md; 00_project_blueprint/20_project_architecture.md,REFERENCED
data/raw/placement_raw.csv,2,scripts/audit_project.py; scripts/generate_dataset.py,3,00_project_blueprint/33_phase_1_part_3_completion_report.md; docs/dataset_generation.md; outputs/phase1/phase1_baseline.md,REFERENCED
data/raw/raw_defect_manifest.csv,5,scripts/audit_project.py; scripts/clean_dataset.py; scripts/generate_dataset.py,10,00_project_blueprint/33_phase_1_part_3_completion_report.md; 00_project_blueprint/34_phase_1_part_4_completion_report.md; 00_project_blueprint/35_phase_1_part_5_completion_report.md,REFERENCED
docs/AGENT_HANDOFF.md,0,,2,00_project_blueprint/23_phase_checkpoints.md; 00_project_blueprint/29_change_log.md,REFERENCED
docs/cleaning_pipeline.md,1,scripts/audit_project.py,2,00_project_blueprint/29_change_log.md; 00_project_blueprint/38_phase_2_part_2_completion_report.md,REFERENCED
docs/cleaning_strategy.md,1,scripts/audit_project.py,3,00_project_blueprint/29_change_log.md; 00_project_blueprint/37_phase_2_part_1_completion_report.md; 00_project_blueprint/42_phase_2_completion_report.md,REFERENCED
docs/dataset_generation.md,0,,1,00_project_blueprint/33_phase_1_part_3_completion_report.md,REFERENCED
docs/dataset_strategy.md,1,scripts/audit_project.py,1,00_project_blueprint/31_phase_1_part_1_completion_report.md,REFERENCED
docs/data_foundation_validation.md,0,,2,00_project_blueprint/35_phase_1_part_5_completion_report.md; 00_project_blueprint/36_phase_1_completion_report.md,REFERENCED
docs/data_model.md,0,,2,00_project_blueprint/32_phase_1_part_2_completion_report.md; 00_project_blueprint/36_phase_1_completion_report.md,REFERENCED
docs/erd.md,0,,2,00_project_blueprint/32_phase_1_part_2_completion_report.md; 00_project_blueprint/36_phase_1_completion_report.md,REFERENCED
docs/final_data_contract.md,1,scripts/audit_project.py,2,00_project_blueprint/29_change_log.md; 00_project_blueprint/42_phase_2_completion_report.md,REFERENCED
docs/initial_data_profile.md,0,,2,00_project_blueprint/34_phase_1_part_4_completion_report.md; 00_project_blueprint/36_phase_1_completion_report.md,REFERENCED
docs/phase2_to_phase3_handoff.md,2,scripts/audit_project.py; scripts/finalize_phase2.py,2,00_project_blueprint/29_change_log.md; 00_project_blueprint/42_phase_2_completion_report.md,REFERENCED
docs/post_cleaning_quality_audit.md,1,scripts/audit_project.py,3,00_project_blueprint/29_change_log.md; 00_project_blueprint/41_phase_2_part_5_completion_report.md; 00_project_blueprint/42_phase_2_completion_report.md,REFERENCED
docs/standardization_and_imputation.md,1,scripts/audit_project.py,2,00_project_blueprint/29_change_log.md; 00_project_blueprint/40_phase_2_part_4_completion_report.md,REFERENCED
docs/structural_cleaning_report.md,1,scripts/audit_project.py,2,00_project_blueprint/29_change_log.md; 00_project_blueprint/39_phase_2_part_3_completion_report.md,REFERENCED
notebooks/.gitkeep,1,scripts/audit_cleanup.py,0,,REFERENCED
outputs/.gitkeep,1,scripts/audit_cleanup.py,0,,REFERENCED
outputs/cleaning/cleaning_audit_log.csv,1,scripts/clean_dataset.py,4,00_project_blueprint/29_change_log.md; 00_project_blueprint/38_phase_2_part_2_completion_report.md; 00_project_blueprint/42_phase_2_completion_report.md,REFERENCED
outputs/cleaning/cleaning_rule_matrix.csv,0,,3,00_project_blueprint/29_change_log.md; 00_project_blueprint/37_phase_2_part_1_completion_report.md; 00_project_blueprint/42_phase_2_completion_report.md,REFERENCED
outputs/cleaning/cleaning_run_log.md,2,scripts/clean_dataset.py; scripts/clean_structural.py,5,00_project_blueprint/29_change_log.md; 00_project_blueprint/39_phase_2_part_3_completion_report.md; 00_project_blueprint/42_phase_2_completion_report.md,REFERENCED
