student_id,technical_skill_count,skill_gap_count,technical_skill_component,technical_skill_contribution,aptitude_score,aptitude_component,aptitude_contribution,cgpa,cgpa_component,cgpa_contribution,projects,projects_component,projects_contribution,internships,internships_component,internships_contribution,communication_score,communication_component,communication_contribution,pri_score,readiness_category,missing_skills,preparation_segment
S0001,6,1,85.71428571428571,21.428571428571427,81.87,81.87,16.374000000000002,7.15,71.50000000000001,10.725000000000001,1,33.33333333333333,4.999999999999999,1,50.0,7.5,72.59,72.59,7.259,68.29,Moderate Readiness,Cloud Computing,High Support Priority
S0002,5,2,71.42857142857143,17.857142857142858,61.89,61.89,12.378,6.7,67.0,10.049999999999999,1,33.33333333333333,4.999999999999999,1,50.0,7.5,75.97,75.97,7.597,60.38,Moderate Readiness,Cloud Computing; Cybersecurity,High Support Priority
S0003,5,2,71.42857142857143,17.857142857142858,61.6,61.6,12.32,7.54,75.4,11.31,0,0.0,0.0,2,100.0,15.0,59.14,59.14,5.914000000000001,62.4,Moderate Readiness,SQL Database; Cybersecurity,Comprehensive High Performers
S0004,5,2,71.42857142857143,17.857142857142858,88.7,88.7,17.740000000000002,8.32,83.2,12.48,2,66.66666666666666,9.999999999999998,0,0.0,0.0,79.99,79.99,7.999,66.08,Moderate Readiness,Power BI / Visuals; Cybersecurity,Academic Generalists
S0005,4,3,57.14285714285714,14.285714285714285,70.06,70.06,14.012,7.67,76.7,11.505,2,66.66666666666666,9.999999999999998,1,50.0,7.5,82.79,82.79,8.279000000000002,65.58,Moderate Readiness,Python Programming; Power BI / Visuals; Cybersecurity,Comprehensive High Performers
S0006,3,4,42.857142857142854,10.714285714285714,76.23,76.23,15.246000000000002,8.81,88.1,13.214999999999998,1,33.33333333333333,4.999999999999999,2,100.0,15.0,78.07,78.07,7.8069999999999995,66.98,Moderate Readiness,SQL Database; Advanced Excel; Cloud Computing; Cybersecurity,Academic Generalists
S0007,6,1,85.71428571428571,21.428571428571427,60.74,60.74,12.148000000000001,9.37,93.69999999999999,14.054999999999998,5,100.0,15.0,0,0.0,0.0,83.68,83.68,8.368,71.0,Moderate Readiness,Cybersecurity,Comprehensive High Performers
S0008,6,1,85.71428571428571,21.428571428571427,97.0,97.0,19.400000000000002,8.15,81.5,12.225,2,66.66666666666666,9.999999999999998,0,0.0,0.0,68.36,68.36,6.836,69.89,Moderate Readiness,Cybersecurity,Comprehensive High Performers
S0009,2,5,28.57142857142857,7.142857142857142,84.55,84.55,16.91,6.91,69.10000000000001,10.365,3,100.0,15.0,1,50.0,7.5,96.0,96.0,9.600000000000001,66.52,Moderate Readiness,Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,High Support Priority
S0010,4,3,57.14285714285714,14.285714285714285,70.97,70.97,14.194,6.55,65.5,9.825,4,100.0,15.0,0,0.0,0.0,69.82,69.82,6.981999999999999,60.29,Moderate Readiness,Power BI / Visuals; Data Structures & Algo; Cybersecurity,Technical Specialists
S0011,3,4,42.857142857142854,10.714285714285714,58.78,58.78,11.756,7.77,77.69999999999999,11.654999999999998,0,0.0,0.0,1,50.0,7.5,70.85,70.85,7.085,48.71,Needs Improvement,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,Academic Generalists
S0012,4,3,57.14285714285714,14.285714285714285,82.29,82.29,16.458000000000002,7.83,78.3,11.745,4,100.0,15.0,3,100.0,15.0,75.41,75.41,7.541,80.03,High Readiness,SQL Database; Cloud Computing; Cybersecurity,Comprehensive High Performers
S0013,2,5,28.57142857142857,7.142857142857142,86.26,86.26,17.252000000000002,8.26,82.6,12.389999999999999,2,66.66666666666666,9.999999999999998,1,50.0,7.5,73.94,73.94,7.394,61.68,Moderate Readiness,SQL Database; Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,Academic Generalists
S0014,6,1,85.71428571428571,21.428571428571427,92.71,92.71,18.541999999999998,6.45,64.5,9.674999999999999,0,0.0,0.0,1,50.0,7.5,53.53,53.53,5.353000000000001,62.5,Moderate Readiness,Data Structures & Algo,High Support Priority
S0015,3,4,42.857142857142854,10.714285714285714,83.7,83.7,16.740000000000002,9.33,93.30000000000001,13.995000000000001,5,100.0,15.0,1,50.0,7.5,74.73,74.73,7.473000000000001,71.42,Moderate Readiness,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,Academic Generalists
S0016,6,1,85.71428571428571,21.428571428571427,87.89,87.89,17.578,5.91,59.099999999999994,8.864999999999998,3,100.0,15.0,3,100.0,15.0,93.32,93.32,9.331999999999999,87.2,High Readiness,Power BI / Visuals,Technical Specialists
S0017,5,2,71.42857142857143,17.857142857142858,72.34,72.34,14.468000000000002,7.18,71.8,10.77,2,66.66666666666666,9.999999999999998,0,0.0,0.0,96.0,96.0,9.600000000000001,62.7,Moderate Readiness,SQL Database; Cloud Computing,High Support Priority
S0018,5,2,71.42857142857143,17.857142857142858,75.93,75.93,15.186000000000002,8.03,80.3,12.045,2,66.66666666666666,9.999999999999998,1,50.0,7.5,88.2,88.2,8.82,71.41,Moderate Readiness,Python Programming; Cybersecurity,Comprehensive High Performers
S0019,4,3,57.14285714285714,14.285714285714285,67.33,67.33,13.466000000000001,8.29,82.89999999999999,12.434999999999999,3,100.0,15.0,1,50.0,7.5,74.59,74.59,7.4590000000000005,70.15,Moderate Readiness,Advanced Excel; Cloud Computing; Cybersecurity,Comprehensive High Performers
S0020,4,3,57.14285714285714,14.285714285714285,64.86,64.86,12.972000000000001,7.32,73.2,10.98,2,66.66666666666666,9.999999999999998,2,100.0,15.0,96.0,96.0,9.600000000000001,72.84,Moderate Readiness,Power BI / Visuals; Cloud Computing; Cybersecurity,High Support Priority
S0021,5,2,71.42857142857143,17.857142857142858,57.91,57.91,11.582,6.39,63.9,9.584999999999999,3,100.0,15.0,0,0.0,0.0,83.0,83.0,8.3,62.32,Moderate Readiness,Power BI / Visuals; Data Structures & Algo,High Support Priority
S0022,6,1,85.71428571428571,21.428571428571427,45.44,45.44,9.088,6.57,65.7,9.855,3,100.0,15.0,0,0.0,0.0,96.0,96.0,9.600000000000001,64.97,Moderate Readiness,Python Programming,Technical Specialists
