student_id,component,raw_value,normalized_score,weight,weighted_contribution
S0001,Technical Skills,6.0,85.7143,0.25,21.4286
S0001,Aptitude Score,81.87,81.87,0.2,16.374
S0001,CGPA,7.15,71.5,0.15,10.725
S0001,Projects,1.0,33.3333,0.15,5.0
S0001,Internships,1.0,50.0,0.15,7.5
S0001,Communication,72.59,72.59,0.1,7.259
S0002,Technical Skills,5.0,71.4286,0.25,17.8571
S0002,Aptitude Score,61.89,61.89,0.2,12.378
S0002,CGPA,6.7,67.0,0.15,10.05
S0002,Projects,1.0,33.3333,0.15,5.0
S0002,Internships,1.0,50.0,0.15,7.5
S0002,Communication,75.97,75.97,0.1,7.597
S0003,Technical Skills,5.0,71.4286,0.25,17.8571
S0003,Aptitude Score,61.6,61.6,0.2,12.32
S0003,CGPA,7.54,75.4,0.15,11.31
S0003,Projects,0.0,0.0,0.15,0.0
S0003,Internships,2.0,100.0,0.15,15.0
S0003,Communication,59.14,59.14,0.1,5.914
S0004,Technical Skills,5.0,71.4286,0.25,17.8571
S0004,Aptitude Score,88.7,88.7,0.2,17.74
S0004,CGPA,8.32,83.2,0.15,12.48
S0004,Projects,2.0,66.6667,0.15,10.0
S0004,Internships,0.0,0.0,0.15,0.0
S0004,Communication,79.99,79.99,0.1,7.999
S0005,Technical Skills,4.0,57.1429,0.25,14.2857
S0005,Aptitude Score,70.06,70.06,0.2,14.012
S0005,CGPA,7.67,76.7,0.15,11.505
S0005,Projects,2.0,66.6667,0.15,10.0
S0005,Internships,1.0,50.0,0.15,7.5
S0005,Communication,82.79,82.79,0.1,8.279
S0006,Technical Skills,3.0,42.8571,0.25,10.7143
S0006,Aptitude Score,76.23,76.23,0.2,15.246
S0006,CGPA,8.81,88.1,0.15,13.215
S0006,Projects,1.0,33.3333,0.15,5.0
S0006,Internships,2.0,100.0,0.15,15.0
S0006,Communication,78.07,78.07,0.1,7.807
S0007,Technical Skills,6.0,85.7143,0.25,21.4286
S0007,Aptitude Score,60.74,60.74,0.2,12.148
S0007,CGPA,9.37,93.7,0.15,14.055
S0007,Projects,5.0,100.0,0.15,15.0
S0007,Internships,0.0,0.0,0.15,0.0
S0007,Communication,83.68,83.68,0.1,8.368
S0008,Technical Skills,6.0,85.7143,0.25,21.4286
S0008,Aptitude Score,97.0,97.0,0.2,19.4
S0008,CGPA,8.15,81.5,0.15,12.225
S0008,Projects,2.0,66.6667,0.15,10.0
S0008,Internships,0.0,0.0,0.15,0.0
S0008,Communication,68.36,68.36,0.1,6.836
S0009,Technical Skills,2.0,28.5714,0.25,7.1429
S0009,Aptitude Score,84.55,84.55,0.2,16.91
S0009,CGPA,6.91,69.1,0.15,10.365
S0009,Projects,3.0,100.0,0.15,15.0
S0009,Internships,1.0,50.0,0.15,7.5
S0009,Communication,96.0,96.0,0.1,9.6
S0010,Technical Skills,4.0,57.1429,0.25,14.2857
S0010,Aptitude Score,70.97,70.97,0.2,14.194
S0010,CGPA,6.55,65.5,0.15,9.825
S0010,Projects,4.0,100.0,0.15,15.0
S0010,Internships,0.0,0.0,0.15,0.0
S0010,Communication,69.82,69.82,0.1,6.982
S0011,Technical Skills,3.0,42.8571,0.25,10.7143
S0011,Aptitude Score,58.78,58.78,0.2,11.756
S0011,CGPA,7.77,77.7,0.15,11.655
S0011,Projects,0.0,0.0,0.15,0.0
S0011,Internships,1.0,50.0,0.15,7.5
S0011,Communication,70.85,70.85,0.1,7.085
S0012,Technical Skills,4.0,57.1429,0.25,14.2857
S0012,Aptitude Score,82.29,82.29,0.2,16.458
S0012,CGPA,7.83,78.3,0.15,11.745
S0012,Projects,4.0,100.0,0.15,15.0
S0012,Internships,3.0,100.0,0.15,15.0
S0012,Communication,75.41,75.41,0.1,7.541
S0013,Technical Skills,2.0,28.5714,0.25,7.1429
