student_id,branch,cgpa,coding_score,aptitude_score,communication_score,projects,internships,cgpa_band,coding_score_band,aptitude_score_band,communication_score_band,technical_skill_count,skill_gap_count,missing_skills
S0001,ME,7.15,68.47,81.87,72.59,1,1,3. 7.0 – 7.99,3. 65 – 79,4. 80 – 89,3. 65 – 79,6,1,Cloud
S0002,CSE,6.7,70.76,61.89,75.97,1,1,2. 6.0 – 6.99,3. 65 – 79,2. 50 – 64,3. 65 – 79,5,2,Cloud; Cybersecurity
S0003,CSE,7.54,78.75,61.6,59.14,0,2,3. 7.0 – 7.99,3. 65 – 79,2. 50 – 64,2. 50 – 64,5,2,SQL; Cybersecurity
S0004,IT,8.32,65.36,88.7,79.99,2,0,4. 8.0 – 8.99,3. 65 – 79,4. 80 – 89,3. 65 – 79,5,2,Power BI; Cybersecurity
S0005,IT,7.67,78.39,70.06,82.79,2,1,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,4. 80 – 89,4,3,Python; Power BI; Cybersecurity
S0006,ECE,8.81,74.9,76.23,78.07,1,2,4. 8.0 – 8.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,3,4,SQL; Excel; Cloud; Cybersecurity
S0007,ME,9.37,91.41,60.74,83.68,5,0,5. 9.0 – 10.0,5. 90 – 100,2. 50 – 64,4. 80 – 89,6,1,Cybersecurity
S0008,CSE,8.15,85.54,97.0,68.36,2,0,4. 8.0 – 8.99,4. 80 – 89,5. 90 – 100,3. 65 – 79,6,1,Cybersecurity
S0009,ECE,6.91,77.16,84.55,96.0,3,1,2. 6.0 – 6.99,3. 65 – 79,4. 80 – 89,5. 90 – 100,2,5,Excel; Power BI; DSA; Cloud; Cybersecurity
S0010,EEE,6.55,75.8,70.97,69.82,4,0,2. 6.0 – 6.99,3. 65 – 79,3. 65 – 79,3. 65 – 79,4,3,Power BI; DSA; Cybersecurity
S0011,CSE,7.77,80.37,58.78,70.85,0,1,3. 7.0 – 7.99,4. 80 – 89,2. 50 – 64,3. 65 – 79,3,4,SQL; Power BI; Cloud; Cybersecurity
S0012,EEE,7.83,77.99,82.29,75.41,4,3,3. 7.0 – 7.99,3. 65 – 79,4. 80 – 89,3. 65 – 79,4,3,SQL; Cloud; Cybersecurity
S0013,IT,8.26,90.83,86.26,73.94,2,1,4. 8.0 – 8.99,5. 90 – 100,4. 80 – 89,3. 65 – 79,2,5,SQL; Excel; Power BI; Cloud; Cybersecurity
S0014,IT,6.45,62.66,92.71,53.53,0,1,2. 6.0 – 6.99,2. 50 – 64,5. 90 – 100,2. 50 – 64,6,1,DSA
S0015,IT,9.33,75.23,83.7,74.73,5,1,5. 9.0 – 10.0,3. 65 – 79,4. 80 – 89,3. 65 – 79,3,4,Power BI; DSA; Cloud; Cybersecurity
S0016,CSE,5.91,82.27,87.89,93.32,3,3,1. < 6.0,4. 80 – 89,4. 80 – 89,5. 90 – 100,6,1,Power BI
S0017,IT,7.18,70.91,72.34,96.0,2,0,3. 7.0 – 7.99,3. 65 – 79,3. 65 – 79,5. 90 – 100,5,2,SQL; Cloud
S0018,ECE,8.03,80.0,75.93,88.2,2,1,4. 8.0 – 8.99,4. 80 – 89,3. 65 – 79,4. 80 – 89,5,2,Python; Cybersecurity
S0019,IT,8.29,86.88,67.33,74.59,3,1,4. 8.0 – 8.99,4. 80 – 89,3. 65 – 79,3. 65 – 79,4,3,Excel; Cloud; Cybersecurity
S0020,IT,7.32,73.23,64.86,96.0,2,2,3. 7.0 – 7.99,3. 65 – 79,2. 50 – 64,5. 90 – 100,4,3,Power BI; Cloud; Cybersecurity
