student_id,python_skill,sql_skill,excel_skill,power_bi_skill,dsa_skill,cloud_skill,cybersecurity_skill,technical_skill_count
S0001,1,1,1,1,1,0,1,6
S0002,1,1,1,1,1,0,0,5
S0003,1,0,1,1,1,1,0,5
S0004,1,1,1,0,1,1,0,5
S0005,0,1,1,0,1,1,0,4
S0006,1,0,0,1,1,0,0,3
S0007,1,1,1,1,1,1,0,6
S0008,1,1,1,1,1,1,0,6
S0009,1,1,0,0,0,0,0,2
S0010,1,1,1,0,0,1,0,4
S0011,1,0,1,0,1,0,0,3
S0012,1,0,1,1,1,0,0,4
S0013,1,0,0,0,1,0,0,2
S0014,1,1,1,1,0,1,1,6
S0015,1,1,1,0,0,0,0,3
S0016,1,1,1,0,1,1,1,6
S0017,1,0,1,1,1,0,1,5
S0018,0,1,1,1,1,1,0,5
S0019,1,1,0,1,1,0,0,4
S0020,1,1,1,0,1,0,0,4
S0021,1,1,1,0,0,1,1,5
S0022,0,1,1,1,1,1,1,6
S0023,1,1,0,0,1,0,0,3
S0024,1,1,1,0,0,0,0,3
S0025,1,0,1,0,1,0,0,3
S0026,1,1,1,1,1,0,0,5
S0027,1,1,1,1,0,0,0,4
S0028,1,1,1,1,1,1,1,7
S0029,1,1,1,1,1,0,0,5
S0030,1,1,1,1,1,0,1,6
S0031,1,1,1,1,1,1,0,6
S0032,1,1,1,1,1,0,0,5
S0033,0,0,1,1,0,0,0,2
S0034,1,1,1,1,0,1,0,5
S0035,1,0,1,0,0,1,1,4
S0036,1,1,0,1,0,0,0,3
S0037,1,0,1,1,1,0,0,4
S0038,1,1,1,0,1,0,0,4
S0039,1,0,0,0,0,0,0,1
S0040,1,1,1,1,1,0,0,5
S0041,1,1,1,0,1,0,1,5
S0042,1,1,1,1,1,0,0,5
S0043,1,1,1,1,0,0,1,5
S0044,1,1,0,0,1,0,1,4
S0045,1,1,1,1,1,1,0,6
S0046,1,0,0,0,1,1,1,4
S0047,1,1,0,1,1,0,1,5
S0048,1,0,1,1,1,1,0,5
S0049,1,1,1,0,1,1,0,5
S0050,0,1,1,0,1,0,0,3
S0051,0,1,1,1,0,0,0,3
S0052,1,1,0,0,0,0,0,2
S0053,0,0,1,0,1,0,1,3
S0054,1,0,0,0,0,1,0,2
S0055,1,1,1,1,1,1,0,6
S0056,1,1,1,0,0,0,0,3
S0057,1,1,1,0,1,1,0,5
S0058,1,0,1,1,1,0,1,5
S0059,0,1,1,1,0,0,0,3
S0060,0,1,0,1,1,1,0,4
S0061,1,1,1,1,1,0,1,6
S0062,0,1,1,0,0,1,0,3
S0063,1,1,1,1,1,0,0,5
S0064,0,1,1,1,0,0,0,3
S0065,1,1,1,0,1,0,0,4
S0066,1,0,1,0,1,0,0,3
S0067,1,1,1,0,1,1,0,5
S0068,1,0,1,0,1,1,1,5
S0069,1,0,1,0,0,1,1,4
S0070,1,1,1,1,1,0,1,6
S0071,1,1,0,0,0,1,0,3
S0072,1,1,1,0,1,0,1,5
S0073,1,1,1,1,1,1,0,6
S0074,1,1,1,1,1,0,0,5
S0075,1,1,1,0,0,0,0,3
S0076,1,1,1,1,1,1,0,6
S0077,1,1,1,0,1,1,0,5
S0078,1,0,1,0,1,0,0,3
S0079,1,1,1,0,1,0,1,5
S0080,0,0,1,1,1,0,1,4
S0081,1,1,0,1,1,1,0,5
S0082,1,1,1,0,0,0,0,3
S0083,1,1,1,0,1,0,0,4
S0084,1,1,0,0,0,0,0,2
S0085,1,1,1,1,1,1,0,6
S0086,0,1,1,1,1,0,0,4
S0087,0,1,1,1,1,0,0,4
S0088,1,1,1,0,1,1,1,6
S0089,1,0,1,0,1,0,0,3
S0090,0,0,0,0,1,0,0,1
S0091,1,1,1,0,0,0,0,3
S0092,0,1,1,0,1,0,0,3
S0093,1,1,1,0,1,0,1,5
S0094,1,1,1,1,1,0,0,5
S0095,0,1,1,0,1,0,0,3
S0096,1,1,1,0,1,0,0,4
S0097,1,0,1,0,1,0,1,4
S0098,0,1,1,1,1,0,0,4
S0099,1,0,1,0,1,0,0,3
S0100,1,1,1,0,1,1,0,5
S0101,0,0,1,1,1,0,0,3
S0102,1,1,1,0,1,0,0,4
S0103,1,0,1,0,0,0,0,2
S0104,0,1,1,1,0,0,0,3
S0105,1,0,1,1,1,0,0,4
S0106,1,1,1,1,0,1,0,5
S0107,1,1,0,0,1,1,0,4
S0108,0,1,0,0,1,0,0,2
S0109,1,1,1,1,0,0,0,4
S0110,1,1,0,0,0,0,0,2
S0111,1,1,1,1,1,0,0,5
S0112,1,1,1,1,1,1,0,6
S0113,1,1,1,0,1,0,0,4
S0114,1,1,1,1,1,0,0,5
S0115,0,0,1,0,1,0,1,3
S0116,1,0,1,0,0,0,0,2
S0117,1,1,1,1,1,0,0,5
S0118,1,1,1,1,1,0,0,5
S0119,1,0,0,0,1,1,1,4
S0120,1,1,1,1,1,0,0,5
S0121,0,1,1,0,1,0,0,3
S0122,0,1,1,0,1,0,0,3
S0123,1,1,1,1,0,1,0,5
S0124,1,1,1,1,1,0,1,6
S0125,1,1,1,0,0,0,0,3
S0126,1,1,1,0,0,0,0,3
S0127,1,1,1,0,1,1,0,5
S0128,1,1,1,0,1,1,0,5
S0129,1,1,1,1,1,0,1,6
S0130,1,1,1,0,0,0,0,3
S0131,1,1,1,1,1,0,0,5
S0132,1,1,1,0,1,1,1,6
S0133,1,1,1,1,1,1,0,6
S0134,1,1,1,0,1,1,0,5
S0135,0,1,1,1,0,1,0,4
S0136,0,1,0,0,0,0,0,1
S0137,0,0,1,0,1,1,0,3
S0138,1,0,1,1,1,1,0,5
S0139,1,1,1,1,1,0,1,6
S0140,1,0,0,0,1,0,0,2
S0141,0,0,1,0,0,0,0,1
S0142,0,0,1,1,1,0,0,3
S0143,0,1,1,0,1,0,0,3
S0144,1,1,1,1,0,0,0,4
S0145,1,1,1,1,0,1,0,5
S0146,1,1,1,0,0,1,0,4
S0147,1,1,1,1,0,0,0,4
S0148,0,1,1,0,1,0,0,3
S0149,1,1,1,1,0,1,0,5
S0150,1,1,1,1,1,1,0,6
S0151,1,1,1,0,1,0,0,4
S0152,1,1,1,1,0,0,0,4
S0153,1,1,1,0,0,0,0,3
S0154,1,1,1,1,1,0,0,5
S0155,1,1,1,1,1,1,0,6
S0156,1,1,1,0,1,0,0,4
S0157,1,1,1,1,0,1,0,5
S0158,1,1,1,1,0,0,0,4
S0159,1,1,1,0,1,0,0,4
S0160,0,0,1,1,0,0,0,2
S0161,1,1,1,1,0,0,0,4
S0162,1,1,1,0,1,1,0,5
S0163,1,1,1,0,1,0,1,5
S0164,1,1,1,0,0,0,0,3
S0165,1,1,1,0,0,1,1,5
S0166,0,0,1,0,0,0,0,1
S0167,1,1,1,1,1,0,0,5
S0168,1,1,1,1,0,0,0,4
S0169,0,1,1,0,1,0,0,3
S0170,0,0,1,0,1,0,0,2
S0171,1,0,0,1,1,1,0,4
S0172,1,1,1,1,1,1,1,7
S0173,1,1,1,1,1,0,1,6
S0174,1,1,1,1,1,0,0,5
S0175,1,1,1,1,1,1,0,6
S0176,1,1,1,1,1,0,0,5
S0177,1,1,1,1,1,0,1,6
S0178,1,1,1,1,0,0,0,4
S0179,1,0,1,0,1,1,0,4
S0180,0,1,1,1,0,1,0,4
S0181,1,0,1,0,1,0,0,3
S0182,1,1,1,0,0,1,0,4
S0183,1,0,1,0,1,1,1,5
S0184,1,1,1,1,1,1,1,7
S0185,1,1,1,1,0,1,1,6
S0186,1,1,1,1,1,1,0,6
S0187,0,1,1,0,0,0,0,2
S0188,1,1,1,1,1,0,0,5
S0189,1,1,1,1,1,1,1,7
S0190,0,0,1,0,1,0,0,2
S0191,0,1,0,0,1,0,0,2
S0192,0,1,1,0,0,1,0,3
S0193,1,1,1,1,0,0,0,4
S0194,1,1,1,1,1,0,0,5
S0195,1,1,0,1,1,1,0,5
S0196,1,1,1,1,1,0,1,6
S0197,1,1,1,0,0,0,0,3
S0198,1,0,1,0,0,0,0,2
S0199,1,1,1,1,1,1,0,6
S0200,0,1,1,1,1,0,1,5
S0201,1,1,1,1,1,1,0,6
S0202,0,1,1,1,1,0,0,4
S0203,1,1,1,0,1,1,1,6
S0204,1,1,1,0,1,0,0,4
S0205,1,0,1,0,1,1,1,5
S0206,1,1,1,1,1,0,0,5
S0207,1,1,1,0,1,0,1,5
S0208,1,1,1,1,1,0,0,5
S0209,0,1,1,0,1,0,0,3
S0210,0,1,1,1,1,0,0,4
S0211,1,0,0,1,0,1,0,3
S0212,1,1,1,1,0,0,0,4
S0213,1,1,1,1,1,0,0,5
S0214,1,1,1,1,0,0,0,4
S0215,1,0,1,0,1,0,0,3
S0216,0,1,1,1,1,0,0,4
S0217,1,1,1,0,1,0,0,4
S0218,1,1,1,0,1,0,0,4
S0219,1,1,1,0,1,1,0,5
S0220,1,1,1,1,1,0,0,5
S0221,1,1,1,0,1,1,0,5
S0222,1,1,1,0,1,0,0,4
S0223,1,1,0,1,1,1,0,5
S0224,0,1,1,0,1,0,1,4
S0225,1,0,0,1,0,1,0,3
S0226,0,1,1,1,0,0,0,3
S0227,1,0,1,1,0,0,0,3
S0228,0,0,1,0,0,0,0,1
S0229,1,1,0,1,1,1,0,5
S0230,1,1,1,1,0,0,0,4
S0231,0,1,1,1,1,0,0,4
S0232,1,0,1,1,1,0,0,4
S0233,1,1,1,0,0,0,0,3
S0234,0,1,0,1,0,1,0,3
S0235,1,1,1,0,0,1,0,4
S0236,0,1,1,1,0,0,0,3
S0237,0,1,1,1,1,0,0,4
S0238,1,1,1,1,1,1,0,6
S0239,1,0,1,0,1,1,0,4
S0240,0,0,1,1,0,0,0,2
S0241,1,1,1,0,1,0,0,4
S0242,1,0,1,0,1,0,1,4
S0243,1,1,0,1,1,0,0,4
S0244,1,1,1,1,1,1,0,6
S0245,1,1,1,0,0,0,0,3
S0246,1,1,1,0,1,1,0,5
S0247,1,1,1,1,1,0,0,5
S0248,1,1,0,1,1,0,0,4
S0249,1,1,1,1,1,1,0,6
S0250,1,1,1,0,1,0,1,5
S0251,1,1,1,0,0,0,0,3
S0252,1,1,1,1,1,0,0,5
S0253,1,1,0,1,0,0,1,4
S0254,1,1,1,1,1,0,1,6
S0255,1,1,1,1,1,0,0,5
S0256,1,1,1,0,1,0,0,4
S0257,1,1,0,1,0,0,0,3
S0258,1,1,1,0,1,0,0,4
S0259,1,1,0,1,0,1,0,4
S0260,1,1,1,0,0,1,0,4
S0261,0,1,1,1,1,0,0,4
S0262,1,0,1,0,1,0,0,3
S0263,1,1,1,1,0,1,1,6
S0264,1,1,1,0,1,0,0,4
S0265,1,1,1,1,1,0,1,6
S0266,1,1,1,1,1,0,0,5
S0267,1,1,1,1,1,0,0,5
S0268,0,0,1,1,0,0,0,2
S0269,1,1,1,1,0,0,0,4
S0270,0,1,0,0,1,0,0,2
S0271,1,1,0,0,1,1,0,4
S0272,1,0,1,0,1,0,0,3
S0273,1,1,1,0,1,0,0,4
S0274,1,1,1,1,1,1,1,7
S0275,0,0,1,0,1,1,0,3
S0276,0,1,1,1,1,1,1,6
S0277,0,1,1,1,0,0,0,3
S0278,1,1,1,1,1,0,0,5
S0279,1,1,0,1,1,0,0,4
S0280,1,1,0,0,1,1,0,4
S0281,0,1,1,0,0,0,0,2
S0282,1,1,0,0,1,1,0,4
S0283,1,1,1,1,1,0,0,5
S0284,1,1,0,1,1,0,0,4
S0285,1,1,1,0,1,1,0,5
