student_id,technical_skill_count,skill_gap_count,missing_skills_list,missing_skills_count,python_gap,sql_gap,excel_gap,power_bi_gap,dsa_gap,cloud_gap,cybersecurity_gap
S0001,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0002,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0003,5,2,SQL Database; Cybersecurity,2,0,1,0,0,0,0,1
S0004,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0005,4,3,Python Programming; Power BI / Visuals; Cybersecurity,3,1,0,0,1,0,0,1
S0006,3,4,SQL Database; Advanced Excel; Cloud Computing; Cybersecurity,4,0,1,1,0,0,1,1
S0007,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0008,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0009,2,5,Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,5,0,0,1,1,1,1,1
S0010,4,3,Power BI / Visuals; Data Structures & Algo; Cybersecurity,3,0,0,0,1,1,0,1
S0011,3,4,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,1,0,1,0,1,1
S0012,4,3,SQL Database; Cloud Computing; Cybersecurity,3,0,1,0,0,0,1,1
S0013,2,5,SQL Database; Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,5,0,1,1,1,0,1,1
S0014,6,1,Data Structures & Algo,1,0,0,0,0,1,0,0
S0015,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0016,6,1,Power BI / Visuals,1,0,0,0,1,0,0,0
S0017,5,2,SQL Database; Cloud Computing,2,0,1,0,0,0,1,0
S0018,5,2,Python Programming; Cybersecurity,2,1,0,0,0,0,0,1
S0019,4,3,Advanced Excel; Cloud Computing; Cybersecurity,3,0,0,1,0,0,1,1
S0020,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0021,5,2,Power BI / Visuals; Data Structures & Algo,2,0,0,0,1,1,0,0
S0022,6,1,Python Programming,1,1,0,0,0,0,0,0
S0023,3,4,Advanced Excel; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,0,1,1,0,1,1
S0024,3,4,Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,0,1,1,1,1
S0025,3,4,SQL Database; Power BI / Visuals; Cloud Computing; Cybersecurity,4,0,1,0,1,0,1,1
S0026,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0027,4,3,Data Structures & Algo; Cloud Computing; Cybersecurity,3,0,0,0,0,1,1,1
S0028,7,0,None,0,0,0,0,0,0,0,0
S0029,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0030,6,1,Cloud Computing,1,0,0,0,0,0,1,0
S0031,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0032,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0033,2,5,Python Programming; SQL Database; Data Structures & Algo; Cloud Computing; Cybersecurity,5,1,1,0,0,1,1,1
S0034,5,2,Data Structures & Algo; Cybersecurity,2,0,0,0,0,1,0,1
S0035,4,3,SQL Database; Power BI / Visuals; Data Structures & Algo,3,0,1,0,1,1,0,0
S0036,3,4,Advanced Excel; Data Structures & Algo; Cloud Computing; Cybersecurity,4,0,0,1,0,1,1,1
S0037,4,3,SQL Database; Cloud Computing; Cybersecurity,3,0,1,0,0,0,1,1
S0038,4,3,Power BI / Visuals; Cloud Computing; Cybersecurity,3,0,0,0,1,0,1,1
S0039,1,6,SQL Database; Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,6,0,1,1,1,1,1,1
S0040,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0041,5,2,Power BI / Visuals; Cloud Computing,2,0,0,0,1,0,1,0
S0042,5,2,Cloud Computing; Cybersecurity,2,0,0,0,0,0,1,1
S0043,5,2,Data Structures & Algo; Cloud Computing,2,0,0,0,0,1,1,0
S0044,4,3,Advanced Excel; Power BI / Visuals; Cloud Computing,3,0,0,1,1,0,1,0
S0045,6,1,Cybersecurity,1,0,0,0,0,0,0,1
S0046,4,3,SQL Database; Advanced Excel; Power BI / Visuals,3,0,1,1,1,0,0,0
S0047,5,2,Advanced Excel; Cloud Computing,2,0,0,1,0,0,1,0
S0048,5,2,SQL Database; Cybersecurity,2,0,1,0,0,0,0,1
S0049,5,2,Power BI / Visuals; Cybersecurity,2,0,0,0,1,0,0,1
S0050,3,4,Python Programming; Power BI / Visuals; Cloud Computing; Cybersecurity,4,1,0,0,1,0,1,1
S0051,3,4,Python Programming; Data Structures & Algo; Cloud Computing; Cybersecurity,4,1,0,0,0,1,1,1
S0052,2,5,Advanced Excel; Power BI / Visuals; Data Structures & Algo; Cloud Computing; Cybersecurity,5,0,0,1,1,1,1,1
