query_id,business_question_id,query_name,purpose,tables_used,columns_used,sql_techniques,population_filter,primary_metric,output_file,leakage_risk,status
Q01,BQ01,Overall Placement Rate,Calculate overall placement rate across all 1500 students,students,placed,"COUNT, SUM, CASE, ROUND",All 1500 Students,placement_rate,01_bq01_overall_placement.csv,NONE,PASS
Q02,BQ02,Branch Placement Rate,Calculate placement rate grouped by branch with window ranking,students,"branch, placed","GROUP BY, CTE, DENSE_RANK",All 1500 Students,branch_placement_rate,02_bq02_branch_placement.csv,NONE,PASS
Q03,BQ03,CGPA Band Placement,Calculate placement rate across 5 CGPA performance bands,students,"cgpa, placed","CTE, CASE WHEN, GROUP BY",All 1500 Students,cgpa_placement_rate,03_bq03_cgpa_placement.csv,NONE,PASS
Q04,BQ04,Coding Score Placement,Calculate placement rate across 5 coding score bands,students,"coding_score, placed","CTE, CASE WHEN, GROUP BY",All 1500 Students,coding_placement_rate,04_bq04_coding_placement.csv,NONE,PASS
Q05,BQ05,Aptitude Score Placement,Calculate placement rate across 5 aptitude score bands,students,"aptitude_score, placed","CTE, CASE WHEN, GROUP BY",All 1500 Students,aptitude_placement_rate,05_bq05_aptitude_placement.csv,NONE,PASS
Q06,BQ06,Communication Score Placement,Calculate placement rate across 5 communication score bands,students,"communication_score, placed","CTE, CASE WHEN, GROUP BY",All 1500 Students,communication_placement_rate,06_bq06_communication_placement.csv,NONE,PASS
Q07,BQ07,Projects Placement Rate,Calculate placement rate by project count (0 to 4),students,"projects, placed","GROUP BY, ORDER BY",All 1500 Students,project_placement_rate,07_bq07_projects_placement.csv,NONE,PASS
Q08,BQ08,Internships Placement Rate,Calculate placement rate by internship count (0 to 3),students,"internships, placed","GROUP BY, ORDER BY",All 1500 Students,internship_placement_rate,08_bq08_internships_placement.csv,NONE,PASS
Q09,BQ09,Skill Ownership & Impact Spread,Calculate placement rate among holders vs non-holders and spread,students,"7 skill flags, placed","UNION ALL, CTE, Aggregation",All 1500 Students,skill_impact_spread,09_bq09_skill_ownership.csv,NONE,PASS
Q10,BQ10,Skill Prevalence,Calculate prevalence percentage across 7 technical skill flags,students,7 skill flags,"UNION ALL, Subquery, Ratio",All 1500 Students,skill_prevalence,10_bq10_skill_prevalence.csv,NONE,PASS
Q11,BQ11,Skill Impact Spread Ranking,Rank 7 skills by percentage point placement impact spread,students,"7 skill flags, placed","UNION ALL, CTE, DENSE_RANK",All 1500 Students,skill_spread_rank,11_bq11_skill_spread.csv,NONE,PASS
Q12,BQ12,Skill Count Placement,Calculate placement rate by derived technical_skill_count (0-7),students,"7 skill flags, placed","CTE, Derived Feature, GROUP BY",All 1500 Students,skill_count_placement_rate,12_bq12_skill_count_placement.csv,NONE,PASS
Q13,BQ13,Package Distribution,Calculate summary statistics of compensation packages among placed,students,"package_lpa, placed","WHERE placed=1, AVG, MIN, MAX, STD",Placed Cohort (N=950),median_package_lpa,13_bq13_package_distribution.csv,RESTRICTED_TO_PLACED,PASS
Q14,BQ14,Package by Branch,Calculate compensation package metrics by academic branch,students,"branch, package_lpa, placed","WHERE placed=1, GROUP BY",Placed Cohort (N=950),branch_mean_package,14_bq14_package_by_branch.csv,RESTRICTED_TO_PLACED,PASS
Q15,BQ15,Package by Company Type,Calculate compensation package metrics by hiring company type,students,"company_type, package_lpa, placed","WHERE placed=1, GROUP BY",Placed Cohort (N=950),company_mean_package,15_bq15_package_by_company.csv,RESTRICTED_TO_PLACED,PASS
Q16,BQ16,Package Band Preparation,Compare academic and preparation scores across 4 package bands,students,"package_lpa, scores, skills","WHERE placed=1, CASE WHEN, GROUP BY",Placed Cohort (N=950),package_tier_profile,16_bq16_package_band_preparation.csv,RESTRICTED_TO_PLACED,PASS
Q17,BQ17,Placed vs Unplaced Comparison,Compare preparation metrics between placed and unplaced cohorts,students,"all scores, skills, placed","GROUP BY placed, Aggregation",All 1500 Students,cohort_preparation_spread,17_bq17_placed_vs_unplaced.csv,NONE,PASS
Q18,BQ18,Preparation Score Associations,Calculate score spreads between placed and unplaced cohorts,students,"coding, cgpa, aptitude, comm","CTE, UNION ALL, Spread Calc",All 1500 Students,preparation_score_spread,18_bq18_preparation_association.csv,NONE,PASS
Q19,BQ19,Branch Support Profile,Generate multi-metric support profile across academic branches,students,"branch, scores, skills, placed","GROUP BY branch, Multi-metric",All 1500 Students,branch_support_matrix,19_bq19_branch_support_profile.csv,NONE,PASS
Q20,BQ20,Skill Improvement Opportunity,Identify strategic skill gap categories based on prevalence & impact,students,"7 skill flags, placed","CTE, CASE WHEN Categorization",All 1500 Students,skill_opportunity_category,20_bq20_skill_opportunity.csv,NONE,PASS
Q21,BQ21,High Package Preparation Patterns,Compare preparation metrics of high package (10+ LPA) placed students,students,"package_lpa, scores, skills","WHERE placed=1, CASE WHEN, GROUP BY",Placed Cohort (N=950),high_package_profile,21_bq21_high_package_patterns.csv,RESTRICTED_TO_PLACED,PASS
